,ISBN,Vote-Count,Vote-Average
149,0609804138,97,7.628865979381444
150,074343627X,94,7.276595744680851
151,0971880107,581,4.3907056798623065
152,3426615355,9,7.444444444444445
153,0099845008,11,6.818181818181818
154,0330262130,34,8.882352941176471
155,0385720920,41,8.024390243902438
156,0553262505,35,7.714285714285714
157,3453171500,4,6.25
158,0590108395,5,7.2
159,3442451353,5,7.8
160,1573229571,56,7.910714285714286
161,0434009407,7,8.0
162,8423918335,4,7.75
163,8472230082,15,7.733333333333333
164,0064404773,17,9.117647058823529
165,0064407667,113,7.371681415929204
166,081297106X,27,8.518518518518519
167,0843951826,5,7.4
168,0385334141,5,7.2
169,0425191184,32,6.78125
170,0751503894,9,8.666666666666666
171,3548208975,5,6.8
172,0425189864,30,7.866666666666666
173,0440236053,34,7.4411764705882355
174,0440241073,200,7.285
175,0553586122,34,7.735294117647059
176,0099935708,13,7.846153846153846
177,0865472807,6,7.166666666666667
178,0312960344,11,7.454545454545454
179,031286504X,15,8.266666666666667
180,0345342968,164,8.628048780487806
181,0767903382,32,7.96875
182,0312331754,4,6.5
183,0312979517,12,7.083333333333333
184,0316154059,34,7.823529411764706
185,0345450175,10,7.4
186,0345452550,27,7.518518518518518
187,0399146504,13,8.0
188,0399146687,9,6.444444444444445
189,0399147101,12,7.916666666666667
190,0399148337,6,6.666666666666667
191,0399148639,32,7.6875
192,0399148728,12,7.583333333333333
193,0399150811,5,7.0
194,0399151451,17,8.235294117647058
195,0425183181,11,7.0
196,0671024094,30,7.833333333333333
197,0679450408,20,7.5
198,0684846608,4,6.0
199,074320607X,18,8.222222222222221
200,0743486226,33,7.606060606060606
201,0812571118,4,6.25
202,0671032658,19,8.631578947368421
203,0812568710,9,6.777777777777778
204,0553285920,21,7.571428571428571
205,0449213730,18,7.666666666666667
206,0451173139,29,7.241379310344827
207,0486282406,8,8.5
208,0553580930,31,7.225806451612903
209,0804102511,4,9.0
210,080410946X,16,7.1875
211,0440414806,76,8.657894736842104
212,0679767800,13,8.076923076923077
213,0006543545,4,6.75
214,0340734043,5,7.8
215,0571152236,4,5.75
216,0679745203,90,7.433333333333334
217,0525945636,19,7.421052631578948
218,074341232X,8,6.875
219,0060391626,75,8.36
220,055326611X,17,8.058823529411764
221,0553347756,11,7.818181818181818
222,0553379615,18,8.38888888888889
223,0670869902,25,6.32
224,0671021001,217,7.700460829493087
225,0671647458,8,8.5
226,1573221856,12,7.583333333333333
227,0449209733,6,7.0
228,0553271644,9,6.333333333333333
229,0316969680,78,7.448717948717949
230,0375703861,63,7.444444444444445
231,0440225442,10,8.0
232,0743229878,14,7.357142857142857
233,030700645X,7,8.714285714285714
234,0307127923,6,7.833333333333333
235,0307302016,5,6.8
236,0307302636,7,7.428571428571429
237,0307987655,5,8.0
238,039480001X,32,9.3125
239,0394800028,13,8.76923076923077
240,0394800184,12,9.5
241,039480029X,19,8.894736842105264
242,039480967X,7,7.571428571428571
243,0590442791,4,7.5
244,059044297X,5,8.2
245,0590629719,4,9.5
246,0717283194,8,6.625
247,0717283208,9,7.666666666666667
248,0717283364,5,7.6
249,0717283372,5,5.8
250,0717284832,5,8.2
251,1562826468,4,8.5
252,0671664964,6,8.833333333333334
253,044023722X,281,7.338078291814947
254,0671015648,19,7.0
255,0749397365,7,8.285714285714286
256,0061044636,12,7.083333333333333
257,0312282990,94,8.106382978723405
258,037541309X,44,8.045454545454545
259,0826308791,26,8.26923076923077
260,014029628X,80,7.8625
261,0425188175,4,8.25
262,038550926X,61,7.016393442622951
263,0440772109,4,6.75
264,0449005909,26,7.961538461538462
265,0452282152,278,7.982014388489208
266,0380807343,31,7.935483870967742
267,0345422384,38,7.2631578947368425
268,0615116426,14,8.642857142857142
269,0375708049,5,7.2
270,9725752228,4,6.75
271,9726101794,6,6.0
272,9726106141,12,7.25
273,0062501860,15,7.4
274,0553581929,12,7.25
275,0806523794,5,8.2
276,1551668726,17,7.0
277,0380721643,26,7.153846153846154
278,0446360716,8,6.5
279,0060173289,59,7.610169491525424
280,0060976845,186,7.596774193548387
281,1561840564,6,9.666666666666666
282,0006530400,8,8.375
283,084230052X,8,7.875
284,3257204817,4,8.25
285,0446363073,7,6.857142857142857
286,0739417096,5,7.4
287,0679781587,333,8.408408408408409
288,0060393823,9,6.222222222222222
289,0156027321,226,8.030973451327434
290,0061011509,4,6.75
291,0553576801,43,7.27906976744186
292,0312276885,7,8.142857142857142
293,0007137699,6,6.5
294,0671521705,10,7.0
295,0312195516,383,8.182767624020888
296,0446608955,124,7.854838709677419
297,0670892963,63,7.285714285714286
298,0671646575,9,7.555555555555555
299,0804114986,112,7.901785714285714
300,0812507452,7,7.428571428571429
301,0812515560,7,6.571428571428571
302,0812515595,10,7.6
303,0399140751,11,7.454545454545454
304,051511605X,16,7.1875
305,0060170166,4,7.75
306,0060006641,4,9.0
307,0060542128,14,7.357142857142857
308,0061009059,134,7.940298507462686
309,0152050167,12,9.083333333333334
310,0316776963,159,7.8930817610062896
311,033031582,9,6.888888888888889
312,0345413903,69,7.753623188405797
313,0375751513,8,8.375
314,0380702843,21,8.666666666666666
315,0380791978,19,8.210526315789474
316,038081904X,6,7.666666666666667
317,0385424736,50,7.72
318,0385486804,130,7.938461538461539
319,0385503857,32,8.375
320,039304016X,22,8.227272727272727
321,0399149562,8,6.75
322,0399501487,108,7.9907407407407405
323,0425104338,16,7.4375
324,0425116840,41,7.414634146341464
325,0425133516,24,7.708333333333333
326,0425190749,10,8.3
327,0440185327,15,7.266666666666667
328,0440224764,143,7.713286713286713
329,0440236061,26,7.384615384615385
330,0440236738,34,7.882352941176471
331,0440428130,10,8.3
332,0441627404,29,7.931034482758621
333,0446350982,22,7.954545454545454
334,0446522384,5,6.6
335,0446600415,18,7.888888888888889
336,0446608890,43,7.325581395348837
337,0446676640,4,9.0
338,0451180739,5,6.8
339,0451191153,39,8.307692307692308
340,0451203593,24,7.708333333333333
341,0452284449,56,7.839285714285714
342,0552137030,53,8.830188679245284
343,0553078925,5,6.4
344,0553280368,54,8.296296296296296
345,0553351672,6,8.333333333333334
346,0553571656,31,8.03225806451613
347,0553573926,18,8.444444444444445
348,0553574566,17,7.882352941176471
349,0671014420,8,5.875
350,0671528904,20,7.55
351,0671727079,4,8.75
352,0671740504,5,8.4
353,0671749897,5,7.6
354,0671876821,11,7.7272727272727275
355,0679417648,7,8.857142857142858
356,0679731148,67,8.0
357,0679736042,21,7.380952380952381
358,0736903054,7,7.142857142857143
359,0740723367,27,8.777777777777779
360,0743406176,26,7.8076923076923075
361,0743412028,59,7.610169491525424
362,0743422082,9,6.888888888888889
363,0743444477,11,9.454545454545455
364,0743457943,20,7.45
365,0786866845,29,8.172413793103448
366,0802425488,4,7.75
367,0810909650,6,7.166666666666667
368,0811802981,24,8.916666666666666
369,0811811409,20,8.05
370,0812504798,4,8.25
371,0812531353,5,6.4
372,0836210263,18,7.833333333333333
373,0836213076,4,8.5
374,0836217691,20,9.35
375,0836218515,23,8.608695652173912
376,0836218817,18,8.277777777777779
377,0836221192,20,8.25
378,0836221311,15,8.866666666666667
379,0836236688,15,8.333333333333334
380,0843947888,10,7.7
381,0887621112,6,7.833333333333333
382,0890876517,14,8.714285714285714
383,0898157803,12,8.166666666666666
384,0932592007,6,6.166666666666667
385,1400060265,8,7.875
386,1559586893,4,8.5
387,1562923668,4,7.0
388,1565075722,8,7.375
389,1572304510,4,9.0
390,1576733343,4,9.25
391,8251800811,5,8.0
392,031215125X,9,7.555555555555555
393,0590629786,7,7.285714285714286
394,0590629794,11,7.2727272727272725
395,0590629808,5,8.8
396,0590629816,5,7.0
397,0312242026,4,4.5
398,0316666343,707,8.185289957567186
399,0345444892,6,7.833333333333333
400,0399149821,18,8.277777777777779
401,0553579134,4,7.25
402,0671027360,269,8.100371747211897
403,0849908647,7,9.0
404,3442729785,5,8.4
405,0380718340,80,8.1
406,0440226414,11,6.818181818181818
407,0553292722,43,6.930232558139535
408,0553571885,38,7.868421052631579
409,0553572997,120,7.766666666666667
410,0330312367,13,7.923076923076923
411,3596200261,9,8.88888888888889
412,0785264280,7,8.142857142857142
413,014038572X,49,8.10204081632653
414,0140620257,4,8.75
415,0312113420,17,8.058823529411764
416,0312979533,19,8.105263157894736
417,0345330129,5,7.2
418,0440213320,14,7.714285714285714
419,0449907635,6,8.0
420,0552142379,20,8.25
421,0752853694,12,7.583333333333333
422,1558745718,47,8.085106382978724
423,9068340344,5,6.2
424,0385482388,42,7.285714285714286
425,0553148001,20,8.95
426,0446609781,15,7.8
427,1400030382,20,8.35
428,2221090810,6,8.5
429,0525946241,4,8.75
430,0553272586,16,8.25
431,0895261901,9,8.222222222222221
432,0312289723,19,8.473684210526315
433,0316603570,39,8.282051282051283
434,0316693200,59,7.8474576271186445
435,0345452577,18,7.388888888888889
436,0345452593,15,7.4
437,0385336322,7,8.142857142857142
438,0385336357,5,8.0
439,0385508042,89,7.415730337078652
440,0385510438,63,8.34920634920635
441,039915180X,14,8.357142857142858
442,0399151877,8,9.0
443,0446530891,28,7.464285714285714
444,0446613843,27,7.703703703703703
445,0515133302,40,6.85
446,055308576X,5,7.8
447,0553801589,6,8.0
448,0553803409,13,8.23076923076923
449,0671886665,29,7.689655172413793
450,0684835983,33,7.848484848484849
451,0743206045,53,7.886792452830188
452,1558744150,66,7.787878787878788
453,0316777722,57,7.807017543859649
454,0374516812,8,9.375
455,0375707166,9,6.333333333333333
456,0679439382,31,6.419354838709677
457,0679723161,50,8.36
458,0064400557,68,9.073529411764707
459,1550544683,15,7.666666666666667
460,0452268060,48,7.25
461,0679734775,62,7.419354838709677
462,0316601950,272,7.5036764705882355
463,034543739X,14,7.5
464,3404149114,10,7.4
465,0345392825,36,7.583333333333333
466,0345435168,63,7.222222222222222
467,0553211803,6,8.166666666666666
468,0345318587,7,9.571428571428571
469,0140043519,14,8.285714285714286
470,0140274286,6,8.0
471,0312971400,4,6.0
472,0312986769,9,7.666666666666667
473,0006551238,4,7.0
474,0553583956,21,7.142857142857143
475,0142004235,69,8.63768115942029
476,0446301582,13,7.461538461538462
477,0446608262,38,8.052631578947368
478,0312202318,12,7.833333333333333
479,8401463017,4,6.25
480,8408039369,12,7.833333333333333
481,0425125467,16,7.5625
482,0553263226,27,7.518518518518518
483,0671026704,6,6.833333333333333
484,0812579402,6,7.666666666666667
485,0375707972,145,7.206896551724138
486,0312421273,72,7.138888888888889
487,0679771476,21,7.285714285714286
488,0618002219,39,9.0
489,0671025368,12,8.75
490,0028604199,33,7.909090909090909
491,0140340203,5,9.2
492,0312290659,4,8.25
493,0786890436,43,6.8604651162790695
494,1400031346,48,8.229166666666666
495,1400031354,95,8.452631578947368
496,1588720756,5,8.6
497,0374184232,8,6.375
498,0380005166,5,5.4
499,0380018179,73,8.068493150684931
500,0385472943,33,7.787878787878788
501,0399132414,7,8.142857142857142
502,0671000306,19,7.631578947368421
503,0671000314,15,7.533333333333333
504,0671026682,15,7.6
505,0671795740,9,7.111111111111111
506,0553245694,10,7.3
507,0552994421,5,7.2
508,0552994928,10,6.7
509,0345335058,5,7.4
510,034539657X,26,7.5
511,0380731851,104,7.701923076923077
512,0425071014,4,6.5
513,0425142485,27,6.925925925925926
514,0425147363,28,6.892857142857143
515,042516098X,64,6.640625
516,0440211727,194,7.93298969072165
517,0440214041,174,7.586206896551724
518,0440430712,7,7.285714285714286
519,0446794031,7,7.857142857142857
520,044921852X,4,8.25
521,0451085108,4,8.5
522,0451162145,14,7.0
523,0553297260,14,7.928571428571429
524,0553579754,62,7.67741935483871
525,0671416367,4,6.25
526,0812543262,25,7.2
527,0375406328,8,7.0
528,0452277337,23,7.130434782608695
529,0451210980,7,8.0
530,067976397X,34,8.029411764705882
531,0679745580,19,8.210526315789474
532,0743225406,69,7.3768115942028984
533,0771060548,37,8.72972972972973
534,2253006629,6,7.5
535,051510566X,29,6.827586206896552
536,052594544X,8,6.625
537,0743206061,23,7.173913043478261
538,087542127X,12,7.75
539,3453007867,19,7.631578947368421
540,0747546290,29,8.551724137931034
541,0060096209,17,7.176470588235294
542,0446607657,98,7.510204081632653
543,0449208281,13,8.153846153846153
544,0316769487,243,7.68724279835391
545,0425171396,21,6.809523809523809
546,0399145850,5,7.2
547,0061015725,77,7.571428571428571
548,0312983395,6,5.5
549,0425192032,18,8.38888888888889
550,0446611638,32,8.09375
551,0451208765,41,7.365853658536586
552,0451210840,9,7.555555555555555
553,0451210875,6,7.833333333333333
554,0553582763,39,8.0
555,0449911160,5,7.4
556,0553282980,10,8.2
557,0671755056,7,7.428571428571429
558,0812967224,10,7.7
559,1573227889,19,8.368421052631579
560,3499100045,5,8.0
561,3937793003,8,8.375
562,089296751X,5,8.2
563,0061031070,25,7.44
564,0449005615,120,8.483333333333333
565,0451167783,13,8.0
566,0440217520,27,7.814814814814815
567,185326086X,17,8.352941176470589
568,0061031550,20,7.1
569,0345339681,161,8.73913043478261
570,0345377443,14,6.0
571,0385491328,4,7.75
572,0440235162,66,7.606060606060606
573,0609806564,6,7.666666666666667
574,0679416498,5,8.2
575,0887307876,40,8.075
576,0929634063,20,7.9
577,1551660717,18,7.333333333333333
578,0843950366,5,7.2
579,0385484518,200,8.615
580,0553211404,42,8.642857142857142
581,0385502532,49,7.673469387755102
582,0553272535,92,8.532608695652174
583,0451524462,4,5.5
584,0061097314,72,7.861111111111111
585,0425173739,6,7.333333333333333
586,0380778556,41,7.975609756097561
587,0440407524,22,8.227272727272727
588,0440967694,32,8.5625
589,0064406601,5,7.4
590,0440228441,6,7.5
591,0590684841,4,8.5
592,0380750260,7,7.142857142857143
593,0553210793,30,8.3
594,0142001740,307,8.452768729641694
595,0345443284,138,7.021739130434782
596,0425173755,19,8.263157894736842
597,0140345353,21,7.9523809523809526
598,0060931396,5,9.0
599,0809015803,5,8.4
600,014032724X,6,9.5
601,0395977894,27,8.296296296296296
602,042518336X,12,8.25
603,0553575538,20,7.35
604,0767903579,27,6.814814814814815
605,0425126064,21,7.523809523809524
606,0671759361,15,8.066666666666666
607,0380789019,126,8.023809523809524
608,1558744606,23,7.782608695652174
609,0064440044,8,9.375
610,0446672211,295,8.142372881355932
611,0446675059,50,8.04
612,0679427430,6,7.166666666666667
613,0894716174,4,9.5
614,0440226430,214,7.55607476635514
615,006019491X,40,8.1
616,0399138250,15,8.2
617,0452284937,21,7.809523809523809
618,0452269571,63,8.238095238095237
619,0671510053,150,7.733333333333333
620,0451206460,9,7.666666666666667
621,0394909674,6,7.666666666666667
622,0439104645,6,5.833333333333333
623,0345384377,26,7.653846153846154
624,0440225701,133,7.62406015037594
625,0446609943,28,7.035714285714286
626,0553580191,40,7.8
627,0553582917,15,8.333333333333334
628,0385492081,138,8.08695652173913
629,0374266441,8,7.125
630,0375410287,5,8.0
631,0385301499,14,7.785714285714286
632,0449908186,7,7.428571428571429
633,0679751602,38,7.578947368421052
634,0679764925,12,6.166666666666667
635,0679770151,9,7.555555555555555
636,0767915062,19,7.631578947368421
637,0804105820,45,8.066666666666666
638,1573220310,4,7.0
639,0380782782,4,8.25
640,0451198948,5,6.4
641,0515129968,7,8.0
642,0553561537,11,8.181818181818182
643,0060934417,159,8.150943396226415
644,0316168815,44,7.886363636363637
645,0316785261,16,7.4375
646,0345468694,7,6.857142857142857
647,0452283205,68,7.455882352941177
648,0452283868,18,7.277777777777778
649,0684848406,13,7.538461538461538
650,0743225325,27,7.407407407407407
651,0743237188,127,7.574803149606299
652,0451184734,6,7.333333333333333
653,0743437802,37,8.378378378378379
654,0006531156,4,5.25
655,0312974256,29,7.724137931034483
656,0312983301,31,7.419354838709677
657,0380785218,5,5.8
658,0446610550,18,7.222222222222222
659,0451203771,65,7.6
660,0515121843,39,7.897435897435898
661,051512317X,30,8.033333333333333
662,0515124214,29,7.448275862068965
663,0515134384,29,6.9655172413793105
664,0515136263,19,7.7894736842105265
665,0515136379,50,7.94
666,0515136530,51,8.509803921568627
667,0515137111,26,7.884615384615385
668,080505801X,4,7.0
669,0375507876,8,6.5
670,0446529788,9,6.777777777777778
671,0553802542,10,6.7
672,0688179088,5,7.0
673,0743204697,9,8.444444444444445
674,0767905385,69,7.927536231884058
675,1551668904,5,7.6
676,0316789089,65,7.753846153846154
677,0374190666,8,8.0
678,0399141464,30,7.466666666666667
679,0399145087,42,7.5476190476190474
680,0446526126,11,7.181818181818182
681,0486285537,7,8.571428571428571
682,0679457526,43,8.372093023255815
683,0684808943,4,6.75
684,0684874350,132,8.386363636363637
685,0688151981,6,7.333333333333333
686,0743204735,7,7.571428571428571
687,0761107363,5,7.6
688,0786881852,100,7.51
689,0446527785,45,7.355555555555555
690,0440216818,12,7.583333333333333
691,0425147711,4,8.0
692,0743420373,10,7.4
693,1853260282,18,7.333333333333333
694,0345386108,34,6.852941176470588
695,0446611778,39,7.333333333333333
696,0515087491,6,8.5
697,0515101486,5,9.6
698,0515104175,5,8.4
699,1558745157,70,8.2
700,0486280500,4,7.25
701,0002240114,4,6.75
702,067976402X,256,7.80859375
703,034543479X,39,7.435897435897436
704,0374480095,25,8.36
705,0446670251,90,7.7555555555555555
706,0804115761,35,6.6
707,0821766570,10,6.9
708,1551669110,4,7.5
709,0375757597,11,6.090909090909091
710,0060572965,6,9.166666666666666
711,0061031410,25,7.36
712,0061094129,24,7.416666666666667
713,0312983433,12,7.416666666666667
714,0345440064,11,6.818181818181818
715,0380820889,23,7.869565217391305
716,038533558X,25,8.72
717,0399142649,6,6.5
718,0440221048,5,7.6
719,0446527041,24,7.916666666666667
720,0446531588,5,7.2
721,0446610607,5,7.2
722,0446612510,15,7.4
723,0449006522,51,7.627450980392157
724,0449219364,60,8.0
725,0449221512,55,7.5636363636363635
726,0449227545,15,6.933333333333334
727,0451179153,5,6.8
728,0451179897,7,7.0
729,0451202473,16,8.0625
730,0451204301,15,8.466666666666667
731,0451206525,42,7.738095238095238
732,0515125490,11,7.636363636363637
733,0515129038,6,7.666666666666667
734,0515130389,61,7.344262295081967
735,0515135968,8,8.25
736,0553582364,27,7.444444444444445
737,0671001795,112,8.258928571428571
738,0684810387,26,6.884615384615385
739,068815333X,4,8.5
740,0786889667,12,6.333333333333333
741,1551667517,13,7.076923076923077
742,1551669625,6,7.333333333333333
743,0061092800,5,8.0
744,0553564528,36,7.583333333333333
745,0316569321,120,7.5
746,0752837168,7,8.428571428571429
747,8845907341,6,8.0
748,0812571991,7,7.857142857142857
749,0553813021,23,7.695652173913044
750,0725107251,10,8.8
751,044900371X,38,7.657894736842105
752,0374270325,25,7.36
753,0425076695,5,6.4
754,0553210416,8,6.25
755,0425144062,11,7.363636363636363
756,0451160916,23,8.347826086956522
757,0140244824,66,6.53030303030303
758,0446605239,206,7.689320388349515
759,0671870998,11,7.545454545454546
760,0385472951,58,7.637931034482759
761,0440236665,13,6.923076923076923
762,0515118230,20,7.3
763,044661162X,31,7.451612903225806
764,0375727345,229,7.327510917030568
765,0060958022,67,7.597014925373134
766,0060002492,12,7.25
767,0061057894,18,7.666666666666667
768,0140067647,6,8.333333333333334
769,0345337662,230,7.778260869565218
770,0373115431,6,5.833333333333333
771,0380600129,28,7.714285714285714
772,0380708655,5,7.6
773,0425065553,9,7.111111111111111
774,0440940001,42,8.19047619047619
775,0446606812,131,7.435114503816794
776,0449209830,7,7.714285714285714
777,0515094978,18,7.111111111111111
778,055325698X,4,7.25
779,0553287532,16,7.375
780,0670894508,11,7.2727272727272725
781,0671434225,15,8.8
782,0671525808,15,8.066666666666666
783,0671745093,4,5.75
784,0684846675,4,8.25
785,0804106304,194,8.195876288659793
786,0812533518,4,7.5
787,1556611536,9,8.555555555555555
788,1558745017,23,8.217391304347826
789,325722575X,24,7.75
790,0590939882,5,8.0
791,0671010123,14,7.571428571428571
792,006107635X,4,5.25
793,0385318073,21,7.9523809523809526
794,044022425X,33,8.727272727272727
795,0312870582,5,6.4
796,059035342X,313,8.939297124600639
797,0749395699,17,7.235294117647059
798,0380817144,15,7.933333333333334
799,0399139087,4,7.0
800,0060198346,15,6.0
801,0142000205,129,7.27906976744186
802,0671038230,5,7.4
803,0156005891,33,7.909090909090909
804,0316171565,6,5.333333333333333
805,0373218192,45,7.355555555555555
806,0373244487,26,7.269230769230769
807,0373272898,6,7.333333333333333
808,0373441762,6,7.0
809,0373441851,6,6.5
810,0373484003,33,8.0
811,0440122090,35,7.857142857142857
812,044022103X,50,7.62
813,0440223571,20,7.15
814,0446603589,43,7.6976744186046515
815,0515124621,19,7.473684210526316
816,0590433865,4,6.5
817,0671644459,7,7.285714285714286
818,0671644475,14,7.285714285714286
819,0743410181,15,7.133333333333334
820,0778320065,6,8.0
821,0778320286,9,6.777777777777778
822,1551661586,8,7.125
823,1551665344,9,6.444444444444445
824,1551666960,6,7.333333333333333
825,0020532105,11,9.181818181818182
826,0060926317,40,7.55
827,0060958014,9,7.555555555555555
828,0140280553,36,7.277777777777778
829,0156007819,10,7.3
830,0156011042,22,6.7272727272727275
831,0345423135,22,6.7727272727272725
832,0375705619,8,7.125
833,0385334923,15,7.6
834,0385498802,90,7.5
835,0440212723,17,8.176470588235293
836,0451209907,40,7.675
837,051512219X,29,7.275862068965517
838,0671683993,33,7.606060606060606
839,0688177859,46,7.739130434782608
840,0802139256,49,8.020408163265307
841,0553574671,30,7.633333333333334
842,0553268937,21,7.857142857142857
843,014025448X,83,7.771084337349397
844,0312252617,9,7.555555555555555
845,0385316925,7,6.285714285714286
846,0385319568,12,8.166666666666666
847,0385324057,42,7.261904761904762
848,0385334710,9,8.444444444444445
849,0385497466,61,7.245901639344262
850,0399145060,5,6.6
851,0399148019,11,7.454545454545454
852,0446527017,24,6.166666666666667
853,0446527130,18,7.611111111111111
854,0553104136,6,6.5
855,0671510126,22,8.454545454545455
856,0671786458,6,7.333333333333333
857,0743206029,44,7.363636363636363
858,0743412761,4,7.0
859,014011291X,6,8.166666666666666
860,0452267455,6,6.833333333333333
861,0060977493,97,7.680412371134021
862,0140039589,22,8.363636363636363
863,0224060198,5,7.2
864,0349101779,35,7.628571428571429
865,0671003755,207,7.531400966183575
866,0440216745,23,7.0
867,0446613436,31,7.935483870967742
868,0553582755,96,7.6875
869,0671027123,19,7.2631578947368425
870,0743460529,43,7.372093023255814
871,0840776381,8,5.625
872,0871237954,4,9.0
873,1556611188,5,8.0
874,1556612257,6,7.333333333333333
875,1576738469,4,7.75
876,0156711427,27,7.7407407407407405
877,0375725784,144,7.180555555555555
878,3423205903,10,7.5
879,0618129030,15,9.066666666666666
880,3596237874,9,5.0
881,044020562X,22,7.954545454545454
882,0440241162,35,7.0285714285714285
883,0060974788,4,8.5
884,0449912302,6,7.833333333333333
885,0451153553,45,8.11111111111111
886,0451170385,40,7.65
887,0451163494,12,6.583333333333333
888,0373218036,42,7.261904761904762
889,8466303316,8,8.125
890,0679435549,6,8.166666666666666
891,0590553232,9,6.777777777777778
892,1567184693,5,7.4
893,0743418719,14,8.071428571428571
894,0345447832,17,7.882352941176471
895,2070495027,4,7.75
896,0375410848,6,7.833333333333333
897,0432534220,40,7.175
898,006091291X,5,7.0
899,0140309578,12,8.25
900,0385319959,13,8.307692307692308
901,0399146431,48,8.1875
902,0679445315,15,6.333333333333333
903,0691017840,9,8.555555555555555
904,1573221775,16,7.5625
905,0312202911,6,7.166666666666667
906,0312275420,24,7.375
